bigbang,boyorgrl,childs,chldidel,class,conarmy,conbiz,conchurh,concong,concourt,condrift,conschls,divorce,earthsun,electron,evolved,finalter,god,grass,gunlaw,helpoth,hlthdays,homosex1,hotcore,id,intecon,intintl,inttech,makefrnd,mntlhlth,obey,othersex,othlang,owngun,popular,racwork,radioact,rank,realinc,realrinc,relpersn,rowngun,satfin,sexeduc,sexornt,socbar,socfrend,socommun,socrel,solarrev,sprtprsn,thnkself,trustsci,viruses,workhard,xmarsex1,year
0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,2,4,1,0,3,0,0,0,138,0,0,0,0,3,5,0,1,2,4,0,0,7,63560,20430,4,0,3,0,3,0,0,0,0,0,4,1,0,0,2,0,2018
0,2,0,2,3,0,3,3,4,3,1,3,0,2,0,0,3,2,0,1,0,0,3,1,140,2,2,1,3,5,0,0,1,2,0,0,2,5,14755,5107.5,4,0,1,1,3,2,6,1,3,0,2,0,3,1,0,1,2018
0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1,5,2,1,3,0,0,0,141,0,0,0,0,0,4,2,2,1,5,0,0,7,45400,20430,2,1,3,0,3,0,0,0,0,0,2,1,0,0,2,0,2018
0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,5,1,1,1,0,0,0,151,0,0,0,0,0,4,0,2,3,5,3,0,4,30645,30645,2,3,2,0,3,0,0,0,0,0,2,2,0,0,3,0,2018
0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,1,6,0,1,1,0,0,0,154,0,0,0,0,0,3,0,1,2,5,3,0,7,37455,8512.5,4,0,1,0,3,0,0,0,0,0,2,4,0,0,2,0,2018
0,0,4,0,2,2,0,0,0,0,0,0,1,0,0,0,3,6,2,1,2,1,0,0,156,0,0,0,0,2,4,0,2,2,5,1,0,9,5107.5,908,4,0,2,0,3,0,0,0,0,0,3,3,0,0,1,0,2018
0,2,4,3,3,0,1,1,1,3,1,1,0,2,2,0,3,6,0,1,0,15,4,1,157,2,3,2,1,0,0,0,1,2,0,3,1,7,12485,12485,2,0,3,1,3,7,7,6,6,0,2,0,2,1,0,4,2018
0,2,0,3,2,0,3,3,3,3,1,3,0,1,0,2,1,6,0,0,0,0,4,0,158,1,2,2,2,0,0,0,1,2,0,3,2,7,20430,2951,2,0,3,1,3,7,2,1,1,3,3,0,3,1,0,1,2018
0,0,3,4,2,0,3,3,1,1,0,1,0,2,0,2,3,6,0,1,0,0,4,0,160,2,3,3,2,15,0,0,2,2,0,2,1,5,6242.5,6242.5,2,0,2,1,3,7,7,7,3,0,2,0,2,1,0,1,2018
0,1,2,2,2,0,3,0,4,4,1,3,2,2,0,0,1,3,0,0,0,0,4,1,163,3,2,2,3,8,0,0,1,2,0,0,0,5,30645,17025,3,0,2,1,3,5,5,5,3,0,3,0,.c,2,0,1,2018
0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,2,0,0,0,169,0,0,0,0,0,5,2,1,2,4,0,0,7,24970,24970,4,0,3,0,3,0,0,0,0,0,3,1,0,0,3,0,2018
0,2,3,2,2,0,2,2,3,3,2,3,2,1,2,0,2,2,0,1,0,0,4,1,170,2,2,1,1,0,0,0,1,2,0,3,2,4,30645,24970,3,0,3,1,3,5,5,7,5,3,2,0,4,2,0,3,2018
0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,7,0,0,171,0,0,0,0,7,4,0,2,2,5,3,0,6,30645,3405,4,0,3,0,3,0,0,0,0,0,2,1,0,0,3,0,2018
0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,6,2,1,2,0,0,0,173,0,0,0,0,0,4,0,2,2,5,2,0,6,20430,20430,4,0,3,0,3,0,0,0,0,0,1,1,0,0,3,0,2018
0,0,2,0,3,2,0,0,0,0,0,0,2,0,0,0,1,2,1,1,3,0,0,0,175,0,0,0,0,0,5,0,2,2,4,3,0,3,119879.41732,151050.72136,4,0,1,0,3,0,0,0,0,0,4,1,0,0,2,0,2018
0,1,3,2,4,0,3,4,4,3,1,4,2,1,0,1,1,2,0,1,0,0,4,1,177,2,2,2,2,1,0,0,1,2,0,2,2,3,119879.41732,72640,4,0,1,1,3,5,4,3,1,3,4,0,4,1,0,1,2018
0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,6,1,0,1,0,0,0,178,0,0,0,0,1,5,0,1,1,4,3,0,3,63560,63560,2,1,2,0,3,0,0,0,0,0,1,2,0,0,3,0,2018
1,0,0,2,3,0,4,4,4,3,1,4,0,1,1,1,3,2,0,1,0,0,4,1,183,1,2,1,1,0,0,0,1,2,0,2,2,4,63560,30645,4,0,3,1,3,4,5,3,5,3,4,0,5,2,0,3,2018
0,0,1,2,3,0,4,5,5,5,1,5,0,1,0,0,3,1,0,1,0,0,2,1,185,1,3,2,3,3,0,0,1,2,0,1,2,4,63560,63560,4,0,2,1,3,4,6,6,6,3,3,0,3,1,0,2,2018
0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,186,0,0,0,0,0,5,0,1,2,4,0,0,3,72640,908,4,0,1,0,3,0,0,0,0,0,4,2,0,0,3,0,2018
0,0,2,3,2,0,3,4,4,2,1,3,2,1,0,0,1,6,0,1,0,0,4,1,188,2,3,2,2,0,0,0,1,2,0,2,2,6,54480,45400,3,0,3,1,3,7,3,7,3,1,3,0,2,2,0,3,2018
0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,1,6,1,1,3,0,0,0,191,0,0,0,0,1,4,2,1,1,5,3,0,10,54480,54480,2,1,1,0,3,0,0,0,0,0,2,2,0,0,1,0,2018
0,1,1,2,3,0,4,4,3,3,1,4,2,1,1,0,1,5,0,1,0,0,1,1,194,2,2,1,2,10,0,0,1,2,0,3,2,5,45400,24970,2,0,2,1,3,7,6,7,1,3,1,0,4,2,0,1,2018
2,0,0,3,3,0,3,3,4,5,1,3,0,1,1,2,1,6,0,1,0,0,1,1,196,2,2,2,2,3,0,0,2,2,0,2,2,5,45400,45400,1,0,1,1,3,7,5,5,3,3,1,0,2,1,0,1,2018
0,2,4,4,2,0,3,3,3,3,1,3,2,1,0,0,3,6,0,1,0,0,1,1,198,1,2,1,2,0,0,0,1,1,0,1,1,5,45400,10782.5,2,1,2,1,3,7,7,6,6,0,2,0,3,1,0,1,2018
